"id";"objectid";"point_lat";"point_lng";"obj_type";"type";"o_id";"naam";"aantal_loc";"ligging";"orientatie";"status";"shape"
"1";"1";"51.22808499687600";"4.40899727964430";"VELO";"<Null>";"129";"Godefriduskaai";"36";" ";" ";"VEILIG";""
"4";"2";"51.21769705473500";"4.42074669702170";"VELO";"ENKELZIJDIG";"002";"Centraal Station - Astrid 2";"36";" ";" ";"VEILIG";""
"7";"3";"51.21823125905600";"4.41237587196630";"VELO";"ENKELZIJDIG";"026";"Meir-Antoon Van Dijck";"21";" ";" ";"VEILIG";""
"10";"4";"51.21903296640100";"4.40404667608570";"VELO";"<Null>";"019";"Eiermarkt";"23";" ";" ";"VEILIG";""
"13";"5";"51.21868479063500";"4.40065792907480";"VELO";"ENKELZIJDIG";"020";"Groenplaats 2";"27";" ";" ";"VEILIG";""
"16";"6";"51.21203597374800";"4.38969413428130";"VELO";"<Null>";"035";"Cockerillkaai";"29";" ";" ";"VEILIG";""
"19";"7";"51.20472224976800";"4.39628968011120";"VELO";"ENKELZIJDIG";"094";"Paleisstraat";"18";" ";" ";"VEILIG";""
"22";"8";"51.19932101907200";"4.39007485043290";"VELO";"<Null>";"012";"Brussel";"36";" ";" ";"VEILIG";""
"25";"9";"51.21951425466400";"4.41168895065670";"VELO";"<Null>";"027";"Lange Nieuwstraat";"36";" ";" ";"VEILIG";""
"28";"10";"51.20583274741900";"4.41837091686160";"VELO";"<Null>";"044";"Belgiëlei";"35";" ";" ";"VEILIG";""
"31";"11";"51.21012452888900";"4.42234589823390";"VELO";"ENKELZIJDIG";"006";"Premetro Plantin";"24";" ";" ";"VEILIG";""
"34";"12";"51.21004470253200";"4.42825632943060";"VELO";"<Null>";"111";"Van Der Meyden";"34";" ";" ";"VEILIG";""
"37";"13";"51.22412482469100";"4.43213582978210";"VELO";"<Null>";"101";"Premetro Handel";"36";" ";" ";"VEILIG";""
"40";"14";"51.22760980223100";"4.43921360139810";"VELO";"<Null>";"120";"Eendracht";"24";" ";" ";"VEILIG";""
"43";"15";"51.23140826956100";"4.37865931048760";"VELO";"<Null>";"144";"August Vermeylenlaan";"36";" ";" ";"VEILIG";""
"46";"16";"51.22788381836900";"4.37864146512850";"VELO";"<Null>";"145";"De Coster";"23";" ";" ";"VEILIG";""
"49";"17";"51.21838953713500";"4.38558346368550";"VELO";"ENKELZIJDIG";"153";"Beatrijslaan";"36";" ";" ";"VEILIG";""
"52";"18";"51.22000679951100";"4.37573391961640";"VELO";"ENKELZIJDIG";"152";"Blancefloerlaan";"33";" ";" ";"VEILIG";""
"55";"19";"51.22059112225600";"4.38647651642890";"VELO";"ENKELZIJDIG";"149";"Van Eedenplein";"36";" ";" ";"VEILIG";""
"58";"20";"51.23337734142900";"4.38253818064570";"VELO";"ENKELZIJDIG";"142";"Esmoreitlaan";"36";" ";" ";"VEILIG";""
"61";"21";"51.22311537852100";"4.38624360483970";"VELO";"<Null>";"148";"Verhaerenlaan";"36";" ";" ";"VEILIG";""
"64";"22";"51.23137742352400";"4.38610805085890";"VELO";"<Null>";"143";"Melis Stokelaan";"24";" ";" ";"VEILIG";""
"67";"23";"51.23517819031900";"4.38684514415280";"VELO";"<Null>";"141";"Sint-Anna";"34";" ";" ";"VEILIG";""
"70";"24";"51.23125799953600";"4.39162224281040";"VELO";"<Null>";"140";"Jachthaven LO";"36";" ";" ";"VEILIG";""
"73";"25";"51.22399175809000";"4.37789826867840";"VELO";"<Null>";"147";"Halewijnlaan";"24";" ";" ";"VEILIG";""
"76";"26";"51.22764750982100";"4.38587309620960";"VELO";"ENKELZIJDIG";"146";"Reinaartlaan";"23";" ";" ";"VEILIG";""
"79";"27";"51.22008425610600";"4.38179009719210";"VELO";"<Null>";"150";"Waterhoenlaan";"34";" ";" ";"VEILIG";""
"82";"28";"51.23135451585500";"4.40356629504520";"VELO";"DUBBELZIJDIG";"138";"Amsterdamstraat";"24";" ";" ";"VEILIG";""
"85";"29";"51.23106877499700";"4.41267138046990";"VELO";"ENKELZIJDIG";"139";"Londenstraat";"21";" ";" ";"VEILIG";""
"88";"30";"51.22970049419300";"4.40572274169410";"VELO";"<Null>";"137";"Sint-Laureiskaai";"36";" ";" ";"VEILIG";""
"91";"31";"51.22163752410500";"4.40050168751400";"VELO";"<Null>";"060";"Grote Markt";"36";" ";" ";"VEILIG";""
"94";"32";"51.22823962010600";"4.41336974357810";"VELO";"<Null>";"127";"FOD Financien";"30";" ";" ";"VEILIG";""
"97";"33";"51.19683198907000";"4.40579270468220";"VELO";"<Null>";"014";"Markgrave";"36";" ";" ";"VEILIG";""
"100";"34";"51.22373497017100";"4.40297193731650";"VELO";"ENKELZIJDIG";"050";"Klapdorp";"21";" ";" ";"VEILIG";""
"103";"35";"51.21279490270200";"4.40942912926730";"VELO";"<Null>";"077";"Blauwtorenplein";"36";" ";" ";"VEILIG";""
"106";"36";"51.20594642078600";"4.39288065261590";"VELO";"<Null>";"080";"Montigny";"36";" ";" ";"VEILIG";""
"109";"37";"51.19683539384800";"4.39631884968460";"VELO";"<Null>";"040";"Desguinlei";"36";" ";" ";"VEILIG";""
"112";"38";"51.22240483034500";"4.43004365758740";"VELO";"<Null>";"102";"Duinstraat";"36";" ";" ";"VEILIG";""
"115";"39";"51.22803377765500";"4.41898701094480";"VELO";"<Null>";"126";"Lange Dijk";"36";" ";" ";"VEILIG";""
"118";"40";"51.21399229225700";"4.39799376041440";"VELO";"<Null>";"076";"Prekersplein";"24";" ";" ";"VEILIG";""
"121";"41";"51.20363221944800";"4.41524202133090";"VELO";"<Null>";"043";"Gréterystraat";"30";" ";" ";"VEILIG";""
